L0001 | 00:01 | 三Ｗ南喰赤－ | てるくん(+28.6) ヤクル(-4.4) はいはい！(-24.2)
L0001 | 00:01 | 四Ｗ東喰赤－ | どるどるどる(+25.4) Ⓟ有田将之(+6.9) Ⓟ山脇千文美(-6.7) つもつもＺ(-25.6)
L0001 | 00:03 | 四Ｗ東喰赤－ | ifdo2(+27.4) 光速の聴牌(+13.4) nico2222(-14.4) nabenan(-26.4)
L0001 | 00:03 | 三Ｗ南喰赤－ | のうてん(+40.8) 放銃期待(-12.7) ジャムおじさん(-28.1)
L0001 | 00:05 | 四Ｗ東喰赤－ | 里崎チャンネ(+36.2) なーちゃん(+7.0) ヨーグルト味(-10.0) @ひろっぺ(-33.2)
L0001 | 00:06 | 三Ｗ南喰赤－ | FORESTER(+35.6) きゃべつたろう(-6.1) game(-29.5)
L0001 | 00:06 | 四Ｗ東喰赤－ | 鳩りゅうさん(+25.3) Ⓟ岡崎圭吾(+9.4) Ⓟ井坂彰宏(-4.7) モトイズミ(-30.0)
L0001 | 00:06 | 三Ｗ南喰赤－ | divrcity(+64.5) KARIN(-5.0) tenchi(-59.5)
L0001 | 00:07 | 四Ｗ東喰赤－ | 真一郎(+28.9) kakaoman(+11.8) 無限飛翔(-7.7) ダイマサ(-33.0)
L0001 | 00:07 | 四Ｗ東喰赤－ | スモール(+28.1) Ⓟ真田悠暉(+7.5) おのとく＠北(-6.4) 下町人(-29.2)
L0001 | 00:09 | 三Ｗ南喰赤－ | Ⓟジェン(+29.6) それがいい(-6.3) 十字職人(-23.3)
L0001 | 00:10 | 四Ｗ東喰赤－ | Ⓟ吾妻さおり(+20.9) おいちょ(+5.0) Ⓟ向井譲(-6.0) どら息子２(-19.9)
L0001 | 00:12 | 四Ｗ東喰赤－ | Ⓟ鷹見としや(+23.4) セクシーナイト(+5.8) 白雪姫(-6.9) Ⓟ武田雛歩(-22.3)
L0001 | 00:13 | 三Ｗ南喰赤－ | 小田かずま(+46.0) Shima(-5.2) ごりごり(-40.8)
L0001 | 00:14 | 四Ｗ東喰赤－ | Ⓟ井上泰秀(+32.0) @ひろっぺ(+7.4) Ⓟ高畑敬太(-11.8) なーちゃん(-27.6)
L0001 | 00:14 | 四Ｗ東喰赤－ | ヨーグルト味(+29.0) どるどるどる(+3.5) Zakapa(-7.3) Ⓟ有田将之(-25.2)
L0001 | 00:16 | 三Ｗ南喰赤－ | メジェド様(+88.2) ゴクアクオヤジ(-29.0) hedgehog(-59.2)
L0001 | 00:18 | 四Ｗ東喰赤－ | てるくん(+18.9) 六三四(+6.0) Ⓟ渡辺雄輝(-6.7) トンキチ(-18.2)
L0001 | 00:18 | 四Ｗ東喰赤－ | Love&Ryu(+27.0) Ⓟ宮田雅也(+16.0) nabenan(+3.0) Ⓟ西川雄介(-46.0)
L0001 | 00:18 | 三Ｗ南喰赤－ | ヤクル(+49.5) がぼがぼ(-10.6) ESORA(-38.9)
L0001 | 00:18 | 四Ｗ東喰赤－ | Ⓟ冨田久志(+25.6) ダイマサ(+7.0) モトイズミ(-9.6) nico2222(-23.0)
L0001 | 00:19 | 四Ｗ東喰赤－ | チル麻雀(+23.0) ヒマジマ(+8.6) 無限飛翔(-6.3) 真一郎(-25.3)
L0001 | 00:20 | 三Ｗ南喰赤－ | それがいい(+29.4) いなづま2(-7.6) royal365(-21.8)
L0001 | 00:21 | 三Ｗ南喰赤－ | 病原体(+49.7) Ⓟ向井譲(-14.1) よいよいさん(-35.6)
L0001 | 00:22 | 四Ｗ東喰赤－ | Ⓟ佐々木将幸(+29.5) 里崎チャンネ(+16.3) Ⓟ吾妻さおり(-14.2) どら息子２(-31.6)
L0001 | 00:22 | 三Ｗ南喰赤－ | Ⓟ仲田加南(+31.8) はいはい！(-5.7) Ⓟジェン(-26.1)
L0001 | 00:25 | 三Ｗ南喰赤－ | 田村光昭(+26.9) divrcity(+3.9) カミカン(-30.8)
L0001 | 00:25 | 三Ｗ南喰赤－ | Ⓟ能瀬美咲(+50.1) 岡崎岡美(+2.6) tom様(-52.7)
L0001 | 00:26 | 四Ｗ東喰赤－ | nabenan(+28.3) Ⓟ西川雄介(+11.4) Love&Ryu(-13.8) Ⓟ真田悠暉(-25.9)
L0001 | 00:26 | 四Ｗ東喰赤－ | なーちゃん(+21.3) Ⓟ高畑敬太(+3.9) @ひろっぺ(-7.1) Ⓟ井上泰秀(-18.1)
L0001 | 00:28 | 三Ｗ南喰赤－ | のうてん(+31.6) どーん＠(+0.8) FORESTER(-32.4)
